Influencer Name,Niche,Audience Demographics,Platform Focus,Engagement Rate,Keywords,Content Style,Location
Thuli Mthembu,Skincare,"Women, 18–30, SA","Instagram, TikTok",6.2,"skincare, self-love, GRWM","Soft, aesthetic",Johannesburg
Lwazi Nxumalo,Fitness,"Men & Women, 25–35, SA","TikTok, Instagram",5.9,"home workouts, gym tips","Energetic, raw",Pretoria
Naledi Nkomo,Tech & AI,"Gen Z, 18–24, SA + Kenya","YouTube, Twitter",3.4,"coding, women in tech","Smart, casual",Durban
Sbu “SneakerGuy” Dlamini,Streetwear,"Teens to 30s, urban SA","TikTok, Instagram",8.1,"kicks, fashion, drops","Loud, trendy",Johannesburg
Aisha Bakar,Mom Blogger,"Moms, 25–40, SA","Facebook, Instagram",4.7,"motherhood, routines, toddlers","Relatable, sweet",Port Elizabeth
Zanele Mafuna,Clean Beauty,"Black women, 25–45, SA","Instagram, TikTok",5.2,"African skincare, DIY","Calm, informative",Pretoria
Katlego Mokoena,Legal Style,"Female lawyers, 25–40",Instagram,3.9,"courtroom style, blazers","Sleek, minimal",Sandton
Sipho Maluleke,Coffee & Hustle,"Men, 20–35, entrepreneurs","Instagram, YouTube",6.6,"coffee, startup life","Chill, productive",Durban
Tumi Ndlovu,Health Food,"Families, Women 30+, SA","YouTube, Instagram",4.3,"vegan, family recipes","Wholesome, helpful",Cape Town
Lebo Moshodi,Fashion,"Gen Z, female students, SA","Instagram, Pinterest",7.5,"OOTD, affordable fashion","Playful, colorful",Johannesburg
