Brand Name,Industry,Campaign Goal,Target Audience,Platform Focus,Keywords,Tone of Voice,Location
Glow Up Skincare,Beauty,Awareness,"Women, 18–30, Urban","Instagram, TikTok","skincare, self-care, glow","Playful, feminine",Johannesburg
EarthWear,Fashion,Engagement,Eco-conscious Gen Z,"Instagram, Pinterest","sustainable, slow fashion","Bold, eco-friendly",Cape Town
Grind Coffee Co.,Lifestyle,Sales,"Young professionals, 20–35","Instagram, YouTube","coffee, hustle, productivity","Chill, urban",Durban
FitFlex,Fitness,Lead Generation,"Men & Women, 25–40, Active","TikTok, Instagram","gym, fitness, HIIT","Energetic, inspiring",Pretoria
AfroTech SA,Tech,Product Launch,"Developers, early adopters","Twitter, LinkedIn","gadgets, innovation, code","Smart, witty",Nationwide
BabyNest,Parenting,Community Growth,"Moms, 25–40","Facebook, Instagram","motherhood, baby care","Warm, nurturing",East London
Luxe Law Looks,Fashion,Niche Exposure,"Female lawyers, 25–40",Instagram,"robes, courtroom style","Elegant, polished",Sandton
Zazi Naturals,Beauty,Brand Trust,"Black women, 25–45","Instagram, TikTok","natural, African ingredients","Grounded, affirming",Pretoria
SneakPick,Fashion,Hype & Drops,"Sneakerheads, 16–30","Instagram, TikTok","drops, streetwear, hype","Cool, edgy",Johannesburg
GreenGlow Foods,Health,Product Reviews,Health-conscious families,"YouTube, Instagram","superfoods, plant-based","Clean, informative",Cape Town
